mean_x_l,mean_y_l,std_x_l,std_y_l,maxdev_x_l,maxdev_y_l,mean_x_r,mean_y_r,std_x_r,std_y_r,maxdev_x_r,maxdev_y_r
326.51666666666665,242.85,46.486374945305805,35.30525220605758,91.51666666666665,91.85,397.26666666666665,230.31666666666666,42.67468674623036,36.67082930916919,90.26666666666665,92.31666666666666
325.1,241.73333333333332,46.617485989701336,35.64494665758699,90.10000000000002,90.73333333333332,396.1,229.25,42.638675714269866,36.86761225429894,89.10000000000002,91.25
323.71666666666664,240.71666666666667,46.67407976834917,35.83624406782732,88.71666666666664,89.71666666666667,394.93333333333334,228.3,42.54325902994373,36.951905679319616,87.93333333333334,90.30000000000001
322.4166666666667,239.8,46.592306828011374,35.906731031010516,87.41666666666669,88.80000000000001,393.8333333333333,227.45,42.39778558158695,36.93752608572119,86.83333333333331,89.44999999999999
321.21666666666664,239.01666666666668,46.40692896061488,35.86107066010284,86.21666666666664,88.01666666666668,392.78333333333336,226.68333333333334,42.16953547553284,36.83498865058721,85.78333333333336,88.68333333333334
320.1,238.38333333333333,46.145313954940214,35.714185634780414,85.10000000000002,87.38333333333333,391.78333333333336,226.08333333333334,41.89076734662292,36.66164738372908,84.78333333333336,88.08333333333334
319.0833333333333,237.93333333333334,45.81567841786138,35.5456826570479,84.08333333333331,86.93333333333334,390.8333333333333,225.68333333333334,41.56768242543987,36.47441645257064,83.83333333333331,87.68333333333334
318.1,237.71666666666667,45.451329280157836,35.41943518591014,83.10000000000002,86.71666666666667,389.95,225.5,41.20251812693006,36.35404608384968,82.94999999999999,87.5
317.2,237.68333333333334,45.04656849676048,35.39467552550179,82.19999999999999,86.68333333333334,389.05,225.48333333333332,40.796415283698636,36.340744656958,82.05000000000001,87.48333333333332
316.35,237.75,44.61570164564638,35.449788433783354,81.35000000000002,86.75,388.25,225.58333333333334,40.37558049118304,36.42722958935465,81.25,87.58333333333334
315.56666666666666,237.85,44.18271406582242,35.53487723350118,80.56666666666666,86.85,387.45,225.68333333333334,39.934289777082554,36.51597443433339,80.44999999999999,87.68333333333334
314.93333333333334,237.9,43.783127140740206,35.575131763635106,79.93333333333334,86.9,386.75,225.78333333333333,39.495411125851064,36.60423093335281,79.75,87.78333333333333
314.4,237.9,43.3997695846418,35.57513176363511,79.39999999999998,86.9,386.15,225.8,39.05928186743837,36.61775525615954,79.14999999999998,87.80000000000001
313.9166666666667,237.81666666666666,43.02684885303852,35.51970892648506,78.91666666666669,86.81666666666666,385.65,225.75,38.64618351144133,36.57987834862221,78.64999999999998,87.75
313.53333333333336,237.65,42.6979572761456,35.41507447401459,78.53333333333336,86.65,385.26666666666665,225.65,38.29702628432424,36.50791010178479,78.26666666666665,87.65
313.23333333333335,237.5,42.41869346827593,35.322089405922746,78.23333333333335,86.5,384.98333333333335,225.56666666666666,38.019508881041,36.446475214423074,77.98333333333335,87.56666666666666
312.98333333333335,237.33333333333334,42.174040857169736,35.21536911949414,77.98333333333335,86.33333333333334,384.73333333333335,225.46666666666667,37.76456304820992,36.373739000670376,77.73333333333335,87.46666666666667
312.8,237.15,41.98841109957207,35.099299613145185,77.80000000000001,86.15,384.55,225.33333333333334,37.56568691416852,36.276101713877075,77.55000000000001,87.33333333333334
312.6333333333333,236.93333333333334,41.81625149255835,34.972783068488496,77.63333333333333,85.93333333333334,384.4166666666667,225.16666666666666,37.41447655060212,36.16221170718897,77.41666666666669,87.16666666666666
312.45,236.68333333333334,41.62308053632424,34.82455631048617,77.44999999999999,85.68333333333334,384.3333333333333,224.96666666666667,37.31830054484737,36.02405060820094,77.33333333333331,86.96666666666667
312.28333333333336,236.35,41.443974900527536,34.608681473487735,77.28333333333336,85.35,384.31666666666666,224.66666666666666,37.29946007950011,35.805337901243455,77.31666666666666,86.66666666666666
312.1,236.01666666666668,41.238614590373096,34.397912565864935,77.10000000000002,85.01666666666668,384.3666666666667,224.33333333333334,37.35325361405022,35.55777770833767,77.36666666666667,86.33333333333334
311.96666666666664,235.8,41.092970472116306,34.26796365898233,76.96666666666664,84.80000000000001,384.3333333333333,224.15,37.31517415505684,35.43765652522752,77.33333333333331,86.15
311.8666666666667,235.63333333333333,40.98555301024443,34.164292600446,76.86666666666667,84.63333333333333,384.28333333333336,224.03333333333333,37.25859706907328,35.360508417662146,77.28333333333336,86.03333333333333
311.8,235.51666666666668,40.913648904328575,34.09276153216235,76.80000000000001,84.51666666666668,384.23333333333335,223.96666666666667,37.2018667393034,35.31523121197928,77.23333333333335,85.96666666666667
311.75,235.33333333333334,40.858954546912564,33.99003121831785,76.75,84.33333333333334,384.23333333333335,223.85,37.201866739303405,35.2405188194877,77.23333333333335,85.85
311.7,235.08333333333334,40.80290022371776,33.84784171684937,76.69999999999999,84.08333333333334,384.3,223.61666666666667,37.27657888451318,35.08612815471221,77.30000000000001,85.61666666666667
311.56666666666666,234.83333333333334,40.64454316250693,33.70319800190415,76.56666666666666,83.83333333333334,384.35,223.4,37.3331063981198,34.93765876529222,77.35000000000002,85.4
311.53333333333336,234.53333333333333,40.605609902519085,33.5397608154196,76.53333333333336,83.53333333333333,384.4,223.18333333333334,37.392156040182186,34.79966075824431,77.39999999999998,85.18333333333334
311.56666666666666,234.23333333333332,40.64290289282442,33.37282660422331,76.56666666666666,83.23333333333332,384.5,222.98333333333332,37.50577733274346,34.67347288954803,77.5,84.98333333333332
311.5833333333333,233.95,40.66132137001399,33.20764219272426,76.58333333333331,82.94999999999999,384.56666666666666,222.78333333333333,37.58118619143834,34.54566623406698,77.56666666666666,84.78333333333333
