timestamp,gaze,mean_x_l,mean_y_l,std_x_l,std_y_l,maxdev_x_l,maxdev_y_l,mean_x_r,mean_y_r,std_x_r,std_y_r,maxdev_x_r,maxdev_y_r,anomaly,anomaly_label
2025-07-07 11:46:11,Right,352.2,283.6333333333333,5.025932749251623,1.0322575044801343,9.199999999999989,2.6333333333333258,414.48333333333335,279.7,6.127782814544117,1.2288205727444497,10.483333333333348,2.300000000000012,1,✅ Normal
2025-07-07 11:46:11,Right,351.96666666666664,283.6333333333333,5.075978285567772,1.0322575044801343,8.96666666666664,2.6333333333333258,414.26666666666665,279.7333333333333,6.087875016967926,1.2092238098144708,10.266666666666652,2.2666666666666515,1,✅ Normal
2025-07-07 11:46:11,Right,351.7333333333333,283.65,5.1149019758175465,1.046024218967547,8.733333333333348,2.6499999999999773,414.05,279.76666666666665,6.075702977159654,1.1883695646650596,10.050000000000011,2.2333333333333485,1,✅ Normal
2025-07-07 11:46:11,Right,351.5,283.65,5.142956348249516,1.046024218967547,8.5,2.6499999999999773,413.8333333333333,279.8,6.055759425722115,1.166190378969059,9.833333333333314,2.1999999999999886,1,✅ Normal
2025-07-07 11:46:11,Right,351.26666666666665,283.65,5.160318680942962,1.046024218967547,8.266666666666652,2.6499999999999773,413.55,279.81666666666666,6.111260099193946,1.1617754611895637,9.550000000000011,2.183333333333337,1,✅ Normal
2025-07-07 11:46:11,Right,351.03333333333336,283.65,5.167096756292537,1.046024218967547,8.03333333333336,2.6499999999999773,413.26666666666665,279.8333333333333,6.153228601492247,1.157103663847319,9.733333333333348,2.1666666666666856,1,✅ Normal
2025-07-07 11:46:11,Right,350.78333333333336,283.65,5.186815550562363,1.046024218967547,8.21666666666664,2.6499999999999773,413.0,279.8666666666667,6.159004248523728,1.1323525167642023,10.0,2.1333333333333258,1,✅ Normal
2025-07-07 11:46:11,Right,350.53333333333336,283.6666666666667,5.194441473558272,1.0434983894999024,8.46666666666664,2.6666666666666856,412.73333333333335,279.9,6.153228601492247,1.106044001535804,10.266666666666652,2.1000000000000227,1,✅ Normal
2025-07-07 11:46:11,Right,350.28333333333336,283.68333333333334,5.190027831224889,1.0406995510499448,8.71666666666664,2.683333333333337,412.4666666666666,279.95,6.135869041047802,1.0866615541802014,10.53333333333336,2.050000000000012,1,✅ Normal
2025-07-07 11:46:12,Right,350.03333333333336,283.71666666666664,5.173543810151369,1.018031870271697,8.96666666666664,2.71666666666664,412.1833333333333,279.96666666666664,6.12778281454412,1.0640593133008251,10.816666666666665,2.03333333333336,1,✅ Normal
2025-07-07 11:46:12,Right,349.78333333333336,283.75,5.14487339224419,0.9937303457175896,9.21666666666664,2.75,411.8833333333333,279.9833333333333,6.129414508925152,1.0406995510499435,11.116666666666674,2.0166666666666515,1,✅ Normal
2025-07-07 11:46:12,Right,349.53333333333336,283.78333333333336,5.103811212112855,0.967671891132986,9.46666666666664,2.78333333333336,411.6,280.0,6.094259594077041,1.0165300454651272,11.399999999999975,2.0,1,✅ Normal
2025-07-07 11:46:12,Right,349.28333333333336,283.81666666666666,5.050055005200991,0.9397103572673636,9.71666666666664,2.816666666666663,411.3333333333333,280.0,6.026792034094277,1.0165300454651272,11.666666666666686,2.0,1,✅ Normal
2025-07-07 11:46:12,Right,349.03333333333336,283.81666666666666,4.983193977984622,0.9397103572673636,9.96666666666664,2.816666666666663,411.01666666666665,280.01666666666665,5.903365330235134,1.0081611423224404,11.983333333333348,2.0166666666666515,1,✅ Normal
2025-07-07 11:46:12,Right,348.78333333333336,283.81666666666666,4.902692004285901,0.9397103572673636,10.21666666666664,2.816666666666663,410.6833333333333,280.03333333333336,5.780691039044458,0.9994442900376638,12.316666666666665,2.03333333333336,1,✅ Normal
2025-07-07 11:46:12,Right,348.53333333333336,283.81666666666666,4.807863928560744,0.9397103572673636,10.46666666666664,2.816666666666663,410.35,280.05,5.635675055690606,0.9903703011163713,10.649999999999975,2.050000000000012,1,✅ Normal
2025-07-07 11:46:12,Right,348.28333333333336,283.78333333333336,4.644321502891702,0.9325889889025192,10.71666666666664,2.78333333333336,410.0833333333333,280.0833333333333,5.502398466931387,0.9537935951883004,10.916666666666686,2.0833333333333144,1,✅ Normal
2025-07-07 11:46:12,Right,348.03333333333336,283.75,4.46081706516742,0.924211375534118,6.96666666666664,2.75,409.81666666666666,280.1166666666667,5.352543528288418,0.914542994554596,10.183333333333335,2.1166666666666742,1,✅ Normal
2025-07-07 11:46:12,Right,347.85,283.75,4.396305266925856,0.924211375534118,7.149999999999977,2.75,409.5833333333333,280.15,5.206699743812987,0.9096702699330128,10.416666666666686,2.1499999999999773,1,✅ Normal
2025-07-07 11:46:12,Right,347.65,283.75,4.339066719929531,0.924211375534118,7.350000000000023,2.75,409.35,280.1666666666667,5.045872901028456,0.8975274678557513,10.649999999999975,2.1666666666666856,1,✅ Normal
2025-07-07 11:46:12,Right,347.46666666666664,283.75,4.2562372532033,0.924211375534118,6.53333333333336,2.75,409.1166666666667,280.2,4.86857839164119,0.8906926143924916,6.883333333333326,2.1999999999999886,1,✅ Normal
2025-07-07 11:46:12,Right,347.3,283.7333333333333,4.232020793899768,0.9104333522498436,6.699999999999989,2.7333333333333485,408.9333333333333,280.1666666666667,4.850658603621665,0.8595864638818423,7.066666666666663,2.1666666666666856,1,✅ Normal
2025-07-07 11:46:12,Right,347.1333333333333,283.7333333333333,4.201058067783502,0.9104333522498436,6.866666666666674,2.7333333333333485,408.78333333333336,280.1666666666667,4.768268961466928,0.8595864638818422,7.21666666666664,2.1666666666666856,1,✅ Normal
2025-07-07 11:46:12,Right,346.96666666666664,283.7333333333333,4.163198556665559,0.9104333522498436,7.03333333333336,2.7333333333333485,408.6333333333333,280.18333333333334,4.679624866256787,0.8849042634972193,7.366666666666674,2.183333333333337,1,✅ Normal
2025-07-07 11:46:12,Right,346.8,283.7333333333333,4.118252056394797,0.9104333522498436,7.199999999999989,2.7333333333333485,408.48333333333335,280.18333333333334,4.584363520587004,0.8849042634972193,7.5166666666666515,2.183333333333337,1,✅ Normal
2025-07-07 11:46:12,Right,346.6666666666667,283.7333333333333,4.011095721731018,0.9104333522498436,7.333333333333314,2.7333333333333485,408.28333333333336,280.18333333333334,4.557381070551621,0.8849042634972194,7.71666666666664,2.183333333333337,1,✅ Normal
2025-07-07 11:46:12,Right,346.53333333333336,283.7333333333333,3.896437118987324,0.9104333522498436,7.46666666666664,2.7333333333333485,408.0833333333333,280.18333333333334,4.476947124498519,0.8849042634972194,7.916666666666686,2.183333333333337,1,✅ Normal
2025-07-07 11:46:12,Right,346.4,283.7333333333333,3.77359245282264,0.9104333522498436,7.600000000000023,2.7333333333333485,407.8833333333333,280.1666666666667,4.385930789340943,0.8787617550976051,8.116666666666674,2.1666666666666856,1,✅ Normal
2025-07-07 11:46:12,Right,346.2333333333333,283.7333333333333,3.6531569300477047,0.9104333522498436,7.7666666666666515,2.7333333333333485,407.6833333333333,280.15,4.283657575276325,0.8722576072086352,8.316666666666663,2.1499999999999773,1,✅ Normal
2025-07-07 11:46:12,Right,346.05,283.71666666666664,3.532822290086691,0.8961336705846714,6.949999999999989,2.71666666666664,407.48333333333335,280.1333333333333,4.169299168392162,0.8653836657164778,7.5166666666666515,2.1333333333333258,1,✅ Normal
2025-07-07 11:46:12,Right,345.9,283.7,3.4239353576452523,0.8812869377601515,6.100000000000023,2.6999999999999886,407.31666666666666,280.06666666666666,4.064036034398431,0.8730533902472534,7.683333333333337,2.066666666666663,1,✅ Normal
2025-07-07 11:46:12,Right,345.76666666666665,283.68333333333334,3.338496002027795,0.8849042634972194,6.2333333333333485,2.683333333333337,407.1666666666667,280.05,3.979810157393054,0.883647742787437,7.833333333333314,2.050000000000012,1,✅ Normal
2025-07-07 11:46:12,Right,345.6166666666667,283.68333333333334,3.256233338622335,0.8849042634972194,6.383333333333326,2.683333333333337,407.03333333333336,280.03333333333336,3.881437305374843,0.8938058451861283,7.96666666666664,2.03333333333336,1,✅ Normal
2025-07-07 11:46:12,Right,345.4833333333333,283.68333333333334,3.15431802807235,0.8849042634972194,6.516666666666652,2.683333333333337,406.8666666666667,280.03333333333336,3.792390040887432,0.8938058451861283,8.133333333333326,2.03333333333336,1,✅ Normal
2025-07-07 11:46:12,Right,345.3666666666667,283.71666666666664,3.0766143007461206,0.9325889889025192,6.633333333333326,2.71666666666664,406.7,280.05,3.693688310257561,0.8836477427874371,8.300000000000011,2.050000000000012,1,✅ Normal
2025-07-07 11:46:12,Right,345.25,283.75,2.9531057098135403,0.9768145508061736,6.75,2.75,406.55,280.05,3.616743470766669,0.8836477427874371,8.449999999999989,2.050000000000012,1,✅ Normal
2025-07-07 11:46:12,Right,345.1333333333333,283.8,2.8193773938387343,1.0132456102380432,6.866666666666674,2.800000000000012,406.3833333333333,280.06666666666666,3.4980550151318224,0.8730533902472535,8.616666666666674,2.066666666666663,1,✅ Normal
2025-07-07 11:46:13,Right,345.0,283.8333333333333,2.6770630673681683,1.0192589900947109,7.0,2.8333333333333144,406.2166666666666,280.0833333333333,3.3170854007027835,0.8620067027323841,8.78333333333336,2.0833333333333144,1,✅ Normal
2025-07-07 11:46:13,Right,344.8666666666667,283.8666666666667,2.5197001585285683,1.02415276638248,7.133333333333326,2.8666666666666742,406.05,280.1,3.169779172119096,0.8504900548115385,8.949999999999989,2.1000000000000227,1,✅ Normal
2025-07-07 11:46:13,Right,344.71666666666664,283.8666666666667,2.3529532270933218,1.02415276638248,7.28333333333336,2.8666666666666742,405.8833333333333,280.1,2.950094160455825,0.8504900548115385,9.116666666666674,2.1000000000000227,1,✅ Normal
2025-07-07 11:46:13,Right,344.56666666666666,283.8666666666667,2.1630739443876825,1.0241527663824803,7.433333333333337,2.8666666666666742,405.73333333333335,280.0833333333333,2.701028610651056,0.8424501304066748,9.266666666666652,2.0833333333333144,1,✅ Normal
2025-07-07 11:46:13,Right,344.43333333333334,283.8666666666667,1.9353437822659685,1.0241527663824803,7.566666666666663,2.8666666666666742,405.56666666666666,280.06666666666666,2.4177583741051465,0.8339997335464541,9.433333333333335,2.066666666666663,1,✅ Normal
2025-07-07 11:46:13,Right,344.31666666666666,283.8833333333333,1.6682492486302964,1.0180318702716962,6.683333333333337,2.8833333333333258,405.3833333333333,280.05,2.090388055415125,0.8251262529657702,8.616666666666674,2.050000000000012,1,✅ Normal
2025-07-07 11:46:13,Right,344.25,283.9166666666667,1.5124483462254177,1.021300913323569,6.75,2.9166666666666856,405.26666666666665,280.05,1.904964274963938,0.8251262529657702,8.733333333333348,2.050000000000012,1,✅ Normal
2025-07-07 11:46:13,Right,344.15,283.93333333333334,1.2359207094308278,1.014341603646863,5.850000000000023,2.933333333333337,405.1,280.06666666666666,1.5351438586225927,0.8339997335464541,6.899999999999977,2.066666666666663,1,✅ Normal
2025-07-07 11:46:13,Right,344.06666666666666,283.95,0.980929264637478,1.007058422668052,1.933333333333337,2.9499999999999886,404.9666666666666,280.0833333333333,1.251221625274898,0.8424501304066748,4.03333333333336,2.0833333333333144,1,✅ Normal
2025-07-07 11:46:13,Right,344.05,283.96666666666664,0.9561206339508972,0.9826268648655784,1.9499999999999889,2.96666666666664,404.9666666666666,280.06666666666666,1.251221625274898,0.8137703743822472,4.03333333333336,2.066666666666663,1,✅ Normal
2025-07-07 11:46:13,Right,344.01666666666665,283.9833333333333,0.921803787268322,0.9572820320516252,1.9833333333333485,2.9833333333333485,404.95,280.06666666666666,1.2439855304624718,0.8137703743822472,4.050000000000011,2.066666666666663,1,✅ Normal
2025-07-07 11:46:13,Right,344.0833333333333,284.01666666666665,1.1149240133549714,0.9218037872683223,4.916666666666686,3.0166666666666515,405.03333333333336,280.0833333333333,1.516208722072555,0.8019074482479611,6.96666666666664,2.0833333333333144,1,✅ Normal
2025-07-07 11:46:13,Right,344.15,284.06666666666666,1.32696395329087,0.8339997335464537,5.850000000000023,3.066666666666663,405.1333333333333,280.1,1.7556258776351592,0.789514618821801,6.866666666666674,2.1000000000000227,1,✅ Normal
2025-07-07 11:46:13,Right,344.2333333333333,284.1166666666667,1.520599297060939,0.7323857514239943,5.766666666666652,1.8833333333333255,405.23333333333335,280.1166666666667,1.9610088106776973,0.776566517148116,6.766666666666652,2.1166666666666742,1,✅ Normal
2025-07-07 11:46:13,Center,344.3333333333333,284.1166666666667,1.6898389140848769,0.7323857514239943,5.666666666666686,1.8833333333333255,405.3666666666667,280.15,2.1367160680716464,0.7262919523166977,6.633333333333326,2.1499999999999773,1,✅ Normal
2025-07-07 11:46:13,Center,344.4166666666667,284.1166666666667,1.8374952758820609,0.7323857514239943,5.583333333333314,1.8833333333333255,405.48333333333335,280.1333333333333,2.2984898423868567,0.7180219742846009,6.516666666666652,2.1333333333333258,1,✅ Normal
2025-07-07 11:46:13,Center,344.5,284.1333333333333,1.970617500514327,0.7180219742846008,5.5,1.8666666666666745,405.6,280.1,2.444040370643114,0.7234178138070239,6.399999999999977,2.1000000000000227,1,✅ Normal
2025-07-07 11:46:13,Center,344.5833333333333,284.1333333333333,2.0919820479365714,0.7180219742846008,5.416666666666686,1.8666666666666745,405.7166666666666,280.0833333333333,2.576118958605928,0.736923032314472,6.28333333333336,2.0833333333333144,1,✅ Normal
2025-07-07 11:46:13,Center,344.7,284.1166666666667,2.245736701693529,0.7323857514239945,6.300000000000011,1.8833333333333255,405.85,280.06666666666666,2.737547564274758,0.727247474309048,7.149999999999977,2.066666666666663,1,✅ Normal
2025-07-07 11:46:13,Center,344.8333333333333,284.1,2.3746344747958346,0.7461009761866465,6.166666666666686,1.8999999999999773,405.98333333333335,280.05,2.883814988671931,0.7170541588099651,7.016666666666652,2.050000000000012,1,✅ Normal
2025-07-07 11:46:13,Center,344.95,284.0833333333333,2.499499949989997,0.7592027982620252,6.050000000000011,1.9166666666666856,406.1333333333333,280.05,3.008137112714261,0.7170541588099651,6.866666666666674,2.050000000000012,1,✅ Normal
